year,avg_temp,,
1750,8.72,,
1751,7.98,,
1752,5.78,,
1753,8.39,,
1754,8.47,,
1755,8.36,,
1756,8.85,,
1757,9.02,,
1758,6.74,,
1759,7.99,,
1760,7.19,,
1761,8.77,,
1762,8.61,,
1763,7.5,,
1764,8.4,,
1765,8.25,,
1766,8.41,,
1767,8.22,,
1768,6.78,,
1769,7.69,,
1770,7.69,,
1771,7.85,,
1772,8.19,,
1773,8.22,,
1774,8.77,,
1775,9.18,,
1776,8.3,,
1777,8.26,,
1778,8.54,,
1779,8.98,,
1780,9.43,,
1781,8.1,,
1782,7.9,,
1783,7.68,,
1784,7.86,,
1785,7.36,,
1786,8.26,,
1787,8.03,,
1788,8.45,,
1789,8.33,,
1790,7.98,,
1791,8.23,,
1792,8.09,,
1793,8.23,,
1794,8.53,,
1795,8.35,,
1796,8.27,,
1797,8.51,,
1798,8.67,,
1799,8.51,,
1800,8.48,,
1801,8.59,,
1802,8.58,,
1803,8.5,,
1804,8.84,,
1805,8.56,,
1806,8.43,,
1807,8.28,,
1808,7.63,,
1809,7.08,,
1810,6.92,,
1811,6.86,,
1812,7.05,,
1813,7.74,,
1814,7.59,,
1815,7.24,,
1816,6.94,,
1817,6.98,,
1818,7.83,,
1819,7.37,,
1820,7.62,,
1821,8.09,,
1822,8.19,,
1823,7.72,,
1824,8.55,,
1825,8.39,,
1839,7.63,,
1840,7.8,,
1841,7.69,7.8775,26.0225
1842,8.02,7.785,25.95
1843,8.17,7.92,26.0575
1844,7.65,7.8825,26.0175
1845,7.85,7.9225,25.9275
1846,8.55,8.055,26.005
1847,8.09,8.035,25.92
1850,7.9,8.0975,25.99
1851,8.18,8.18,26.1075
1852,8.1,8.0675,25.9875
1853,8.04,8.055,26.0625
1854,8.21,8.1325,26.0475
1855,8.11,8.115,26.045
1856,8,8.09,26.095
1857,7.76,8.02,26.0875
1858,8.1,7.9925,26.16
1859,8.25,8.0275,26.1225
1860,7.96,8.0175,26.0525
1861,7.85,8.04,26.0375
1863,8.11,8.0425,25.9575
1864,7.98,7.975,26.0125
1865,8.18,8.03,26.07
1866,8.29,8.14,26.0575
1867,8.44,8.2225,26.115
1868,8.25,8.29,26.0725
1869,8.43,8.3525,25.935
1870,8.2,8.33,25.82
1871,8.12,8.25,25.825
1872,8.19,8.235,25.93
1873,8.35,8.215,26.06
1874,8.43,8.2725,26.0325
1875,7.86,8.2075,25.92
1876,8.08,8.18,25.8825
1877,8.54,8.2275,26.0025
1878,8.83,8.3275,26.0725
1879,8.17,8.405,26.1725
1880,8.12,8.415,26.2475
1881,8.27,8.3475,26.13
1882,8.13,8.1725,26.1925
1883,7.98,8.125,26.1275
1884,7.77,8.0375,26.045
1885,7.92,7.95,26.12
1886,7.95,7.905,26.02
1887,7.91,7.8875,26.12
1888,8.09,7.9675,26.18
1889,8.32,8.0675,26.04
1890,7.97,8.0725,26.175
1891,8.02,8.1,26.12
1892,8.07,8.095,25.955
1893,8.06,8.03,25.9925
1894,8.16,8.0775,25.98
1895,8.15,8.11,26.085
1896,8.21,8.145,26.28
1897,8.29,8.2025,26.3575
1898,8.18,8.2075,26.39
1899,8.4,8.27,26.4075
1900,8.5,8.3425,26.2775
1901,8.54,8.405,26.1975
1902,8.3,8.435,26.18
1903,8.22,8.39,26.01
1904,8.09,8.2875,26.1475
1905,8.23,8.21,26.235
1906,8.38,8.23,26.2725
1907,7.95,8.1625,26.365
1908,8.19,8.1875,26.285
1909,8.18,8.175,26.23
1910,8.22,8.135,26.2425
1911,8.18,8.1925,26.3175
1912,8.17,8.1875,26.31
1913,8.3,8.2175,26.445
1914,8.59,8.31,26.5275
1915,8.59,8.4125,26.47
1916,8.23,8.4275,26.385
1917,8.02,8.3575,26.1975
1918,8.13,8.2425,26.165
1919,8.38,8.19,26.2025
1920,8.36,8.2225,26.28
1921,8.57,8.36,26.375
1922,8.41,8.43,26.3025
1923,8.42,8.44,26.2875
1924,8.51,8.4775,26.285
1925,8.53,8.4675,26.365
1926,8.73,8.5475,26.4125
1927,8.52,8.5725,26.4625
1928,8.63,8.6025,26.5225
1929,8.24,8.53,26.5525
1930,8.63,8.505,26.66
1931,8.72,8.555,26.6475
1932,8.71,8.575,26.625
1933,8.34,8.6,26.5075
1934,8.63,8.6,26.425
1935,8.52,8.55,26.4425
1936,8.55,8.51,26.5325
1937,8.7,8.6,26.63
1938,8.86,8.6575,26.6375
1939,8.76,8.7175,26.7025
1940,8.76,8.77,26.84
1941,8.77,8.7875,26.91
1942,8.73,8.755,26.8875
1943,8.76,8.755,26.8375
1944,8.85,8.7775,26.6775
1945,8.58,8.73,26.655
1946,8.68,8.7175,26.765
1947,8.8,8.7275,26.8
1948,8.75,8.7025,26.825
1949,8.59,8.705,26.7575
1950,8.37,8.6275,26.735
1951,8.63,8.585,26.7575
1952,8.64,8.5575,26.805
1953,8.87,8.6275,26.8275
1954,8.56,8.675,26.7775
1955,8.63,8.675,26.6725
1956,8.28,8.585,26.6375
1957,8.73,8.55,26.745
1958,8.77,8.6025,26.805
1959,8.73,8.6275,26.92
1960,8.58,8.7025,26.905
1961,8.8,8.72,26.775
1962,8.75,8.715,26.7475
1963,8.86,8.7475,26.68
1964,8.41,8.705,26.655
1965,8.53,8.6375,26.7375
1966,8.6,8.6,26.715
1967,8.7,8.56,26.7375
1968,8.52,8.5875,26.845
1969,8.6,8.605,26.835
1970,8.7,8.63,26.8175
1971,8.6,8.605,26.865
1972,8.5,8.6,26.84
1973,8.95,8.6875,26.795
1974,8.47,8.63,26.8025
1975,8.74,8.665,26.7075
1976,8.35,8.6275,26.6725
1977,8.85,8.6025,26.73
1978,8.69,8.6575,26.81
1979,8.73,8.655,26.91
1980,8.98,8.8125,26.95
1981,9.17,8.8925,26.935
1982,8.64,8.88,27.02
1983,9.03,8.955,26.9
1984,8.69,8.8825,26.86
1985,8.66,8.755,26.8625
1986,8.83,8.8025,26.8325
1987,8.99,8.7925,26.98
1988,9.2,8.92,26.9725
1989,8.92,8.985,27.0425
1990,9.23,9.085,26.995
1991,9.18,9.1325,26.9775
1992,8.84,9.0425,27.0125
1993,8.87,9.03,27.0025
1994,9.04,8.9825,27.0225
1995,9.35,9.025,27.0325
1996,9.04,9.075,27.1475
1997,9.2,9.1575,27.32
1998,9.52,9.2775,27.3075
1999,9.29,9.2625,27.3225
2000,9.2,9.3025,27.2725
2001,9.41,9.355,27.18
2002,9.57,9.3675,27.2525
2003,9.53,9.4275,27.31
2004,9.32,9.4575,27.385
2005,9.7,9.53,27.365
2006,9.53,9.52,27.32
2007,9.73,9.57,27.255
2008,9.43,9.5975,27.25
2009,9.51,9.55,27.3175
2010,9.7,9.5925,27.355
2011,9.52,9.54,27.4125
2012,9.51,9.56,27.445
2013,9.61,9.585,
2014,9.57,,
2015,9.83,,
